,n_sense
晃,13
栽,10
綿,13
尊,8
戴,6
排,20
嘗,5
漫,9
埋,8
習,5
見,11
摸,15
避,4
馳,5
腰,8
釣,5
管,15
相,13
峰,4
嘉,6
慈,5
巴,29
伏,11
暴,15
潮,7
穀,4
抵,8
耀,3
番,10
歡,5
箭,6
搭,18
折,21
練,6
賀,3
柏,2
夜,4
蒼,3
壯,9
宏,3
版,7
接,18
啟,16
衛,10
品,8
決,5
紀,11
曾,3
蕩,13
拽,3
剎,3
弭,3
体,14
廈,4
滇,2
瑜,3
遜,4
惠,4
酈,2
夙,3
妥,2
賦,7
碩,6
訴,3
匙,5
署,5
禽,2
凱,3
筍,4
潭,5
萌,7
墾,3
航,9
茫,4
舒,8
展,8
盈,6
鄰,8
社,3
玻,3
恭,5
博,8
源,5
漲,5
漂,5
維,5
陰,18
徒,4
殷,7
鑽,17
醫,12
員,8
泡,12
賽,10
養,11
永,2
速,4
登,19
爺,8
疏,15
禮,8
奏,6
撲,15
拍,27
主,12
曲,9
勵,2
規,4
堅,6
偉,6
健,4
應,9
優,5
顏,8
聯,5
織,4
慶,3
散,24
廠,6
碳,1
脫,11
善,8
京,9
倍,4
治,8
錯,11
勒,7
佩,4
神,11
惜,3
繁,4
磨,15
悟,2
曬,5
耕,7
呈,3
進,20
集,6
效,4
術,4
烽,2
吟,4
秀,7
垂,8
資,5
事,6
物,6
謀,4
暢,8
虞,3
歸,11
遲,6
喪,6
買,4
育,6
評,4
閉,10
知,9
智,4
家,18
錄,6
築,6
建,7
衝,11
乍,4
炸,7
騰,5
虛,11
攝,7
貫,7
毫,14
頻,3
開,86
存,10
辜,4
鬥,7
苗,12
吳,6
守,6
弄,10
羞,5
濟,3
麗,3
享,6
法,14
毛,15
德,11
保,13
難,4
模,6
汪,6
志,6
去,22
芭,4
拓,8
範,6
焦,11
孟,4
挾,11
宮,12
吶,8
系,8
刷,19
完,5
鉤,16
蓋,10
編,12
專,8
消,15
闖,9
抹,7
溫,8
仰,11
