"","character","frequency","stroke_num","scaled_freq"
"1","""的""",6538132,8,64.6249057448687
"2","""是""",3200626,9,31.569426841928
"3","""不""",2831612,4,27.9146215795885
"4","""我""",2584497,7,25.4671339438808
"5","""一""",2542556,1,25.051739981842
"6","""有""",2289333,6,22.5437572143985
"7","""大""",1891383,3,18.60236270322
"8","""在""",1715554,6,16.8609091148144
"9","""人""",1598855,2,15.7050935649714
"10","""了""",1507218,2,14.7974982167597
"11","""中""",1322363,4,12.9666489081433
"12","""到""",1310850,8,12.8526213292836
"13","""資""",1115608,13,10.9188966222815
"14","""要""",1034142,9,10.1120373554196
"15","""以""",994958,5,9.72394939832447
"16","""可""",992842,5,9.70299201476961
"17","""這""",986130,11,9.63651471872983
"18","""個""",933857,10,9.11879009180979
"19","""你""",915385,7,8.93583886826289
"20","""會""",894569,13,8.72967209317885
"21","""好""",860232,6,8.38959001419824
"22","""為""",847332,9,8.26182524677971
"23","""上""",828394,3,8.07425864481289
"24","""來""",812950,8,7.92129747674996
"25","""學""",806783,16,7.86021799452748
"26","""就""",803921,12,7.83187204380253
"27","""交""",728005,6,7.07998133966727
"28","""也""",712260,3,6.92403899369792
"29","""用""",695290,5,6.75596394694657
"30","""能""",668264,10,6.48829180708199
"31","""如""",659275,6,6.39926254395601
"32","""時""",658186,10,6.38847682056696
"33","""文""",651140,4,6.31869150651805
"34","""說""",638724,14,6.1957203939391
"35","""沒""",638184,7,6.19037210134949
"36","""他""",635766,5,6.16642363564267
"37","""看""",632561,9,6.13468052869876
"38","""那""",610340,7,5.9145982886362
"39","""問""",601742,11,5.82944158551492
"40","""生""",601668,5,5.82870867134523
"41","""提""",599147,12,5.80374006834817
"42","""下""",589356,3,5.70676760030206
"43","""過""",586922,13,5.68266066666666
"44","""請""",576417,15,5.57861656730762
"45","""們""",571155,10,5.52650042729551
"46","""天""",569684,4,5.51193128211158
"47","""所""",558469,8,5.40085516842175
"48","""多""",542911,6,5.24676491636769
"49","""麼""",535402,14,5.17239393663546
"50","""小""",530133,3,5.12020846690459
"51","""之""",527444,4,5.09357595065743
"52","""想""",525378,13,5.07311377937939
"53","""得""",521836,11,5.03803294168975
"54","""工""",521467,3,5.03437827508685
"55","""出""",513081,5,4.95132127201927
"56","""還""",511627,17,4.93692049900946
"57","""電""",509516,13,4.91601263668229
"58","""對""",500435,14,4.82607218296697
"59","""都""",493206,11,4.75447439198491
"60","""機""",468878,16,4.51352390657732
"61","""自""",462155,6,4.44693766383664
"62","""而""",459507,6,4.42071122165647
"63","""子""",459460,3,4.42024572211626
"64","""後""",459039,9,4.41607603474547
"65","""訊""",448759,10,4.3142603906321
"66","""家""",447793,10,4.30469288944402
"67","""站""",446241,10,4.28932150037165
"68","""心""",445610,4,4.28307192143823
"69","""只""",443992,5,4.26704685216047
"70","""去""",443547,5,4.2626394628968
"71","""知""",434311,8,4.17116385112335
"72","""國""",430450,11,4.13292355910762
"73","""很""",417617,9,4.00582237614003
"74","""台""",414094,5,3.97092971911558
"75","""成""",406735,6,3.8980443762138
"76","""信""",406628,9,3.89698462194141
"77","""同""",395867,6,3.79040503572507
"78","""何""",394682,7,3.77866850476453
"79","""章""",391052,11,3.74271609346769
"80","""道""",386382,13,3.69646326681308
"81","""發""",374961,12,3.58334687854277
"82","""地""",374510,6,3.57888006380589
"83","""法""",370276,8,3.53694548820511
"84","""無""",368361,12,3.51797885800306
"85","""然""",364596,12,3.48068937355882
"86","""但""",362245,7,3.45740449230293
"87","""當""",354718,13,3.38285523615105
"88","""於""",353628,8,3.37205960851646
"89","""嗎""",353524,13,3.37102956698068
"90","""本""",353034,5,3.36617648666789
"91","""年""",343135,6,3.26813436010386
"92","""現""",341466,11,3.25160417430374
"93","""前""",339595,9,3.23307333090528
"94","""最""",335527,12,3.19278286006353
"95","""真""",335203,10,3.18957388450977
"96","""新""",334204,13,3.17967954321898
"97","""和""",333422,8,3.17193442320958
"98","""因""",326759,6,3.10594243520108
"99","""果""",324143,8,3.08003292887807
"100","""意""",322755,13,3.06628583607366
"101","""定""",322471,8,3.06347303034134
"102","""點""",319559,17,3.03463186733958
"103","""情""",318027,11,3.01945856317794
"104","""其""",317897,8,3.01817101125822
"105","""題""",316919,18,3.00848465912369
"106","""事""",312553,8,2.96524272311212
"107","""科""",311419,9,2.95401130867394
"108","""方""",310681,4,2.94670197546813
"109","""些""",304517,8,2.88565220598226
"110","""清""",302588,11,2.86654691634269
"111","""三""",301762,3,2.85836600952969
"112","""樣""",301165,15,2.85245317494451
"113","""此""",295670,6,2.79802934572243
"114","""吧""",295069,7,2.79207689415511
"115","""位""",291403,7,2.75576793001896
"116","""作""",287015,7,2.71230810060559
"117","""理""",286328,11,2.70550388392213
"118","""行""",285867,6,2.70093802672989
"119","""者""",283962,8,2.6820704389832
